ResponseId,StartDate,EndDate,Duration (in seconds),Q1_Role,Q2_DecisionAuth,Q3_Industry,Q4_OrgSize,Q5_ProfitModel,Q8_GeoScope,Q74_Feedback,Q10-28_Barriers_1,Q10-28_Barriers_2,Q10-28_Barriers_3,Q10-28_Barriers_4,Q10-28_Barriers_5,Q10-28_Barriers_6,Q10-28_Barriers_7,Q10-28_Barriers_8,Q10-28_Barriers_9,Q10-28_Barriers_10,Q10-28_Barriers_11,Q10-28_Barriers_12,Q10-28_Barriers_13,Q10-28_Barriers_14,Q10-28_Barriers_15,Q10-28_Barriers_16,Q10-28_Barriers_17,Q10-28_Barriers_18,Q10-28_Barriers_19,Q47-64_Readiness_1,Q47-64_Readiness_2,Q47-64_Readiness_3,Q47-64_Readiness_4,Q47-64_Readiness_5,Q47-64_Readiness_6,Q47-64_Readiness_7,Q47-64_Readiness_8,Q47-64_Readiness_9,Q47-64_Readiness_10,Q47-64_Readiness_11,Q47-64_Readiness_12,Q47-64_Readiness_13,Q47-64_Readiness_14,Q47-64_Readiness_15,Q47-64_Readiness_16,Q47-64_Readiness_17,Q47-64_Readiness_18,Q65-73_Maturity_1,Q65-73_Maturity_2,Q65-73_Maturity_3,Q65-73_Maturity_4,Q65-73_Maturity_5,Q65-73_Maturity_6,Q65-73_Maturity_7,Q65-73_Maturity_8,Q65-73_Maturity_9
Question text for ResponseId,Question text for StartDate,Question text for EndDate,Question text for Duration (in seconds),Question text for Q1_Role,Question text for Q2_DecisionAuth,Question text for Q3_Industry,Question text for Q4_OrgSize,Question text for Q5_ProfitModel,Question text for Q8_GeoScope,Question text for Q74_Feedback,Question text for Q10-28_Barriers_1,Question text for Q10-28_Barriers_2,Question text for Q10-28_Barriers_3,Question text for Q10-28_Barriers_4,Question text for Q10-28_Barriers_5,Question text for Q10-28_Barriers_6,Question text for Q10-28_Barriers_7,Question text for Q10-28_Barriers_8,Question text for Q10-28_Barriers_9,Question text for Q10-28_Barriers_10,Question text for Q10-28_Barriers_11,Question text for Q10-28_Barriers_12,Question text for Q10-28_Barriers_13,Question text for Q10-28_Barriers_14,Question text for Q10-28_Barriers_15,Question text for Q10-28_Barriers_16,Question text for Q10-28_Barriers_17,Question text for Q10-28_Barriers_18,Question text for Q10-28_Barriers_19,Question text for Q47-64_Readiness_1,Question text for Q47-64_Readiness_2,Question text for Q47-64_Readiness_3,Question text for Q47-64_Readiness_4,Question text for Q47-64_Readiness_5,Question text for Q47-64_Readiness_6,Question text for Q47-64_Readiness_7,Question text for Q47-64_Readiness_8,Question text for Q47-64_Readiness_9,Question text for Q47-64_Readiness_10,Question text for Q47-64_Readiness_11,Question text for Q47-64_Readiness_12,Question text for Q47-64_Readiness_13,Question text for Q47-64_Readiness_14,Question text for Q47-64_Readiness_15,Question text for Q47-64_Readiness_16,Question text for Q47-64_Readiness_17,Question text for Q47-64_Readiness_18,Question text for Q65-73_Maturity_1,Question text for Q65-73_Maturity_2,Question text for Q65-73_Maturity_3,Question text for Q65-73_Maturity_4,Question text for Q65-73_Maturity_5,Question text for Q65-73_Maturity_6,Question text for Q65-73_Maturity_7,Question text for Q65-73_Maturity_8,Question text for Q65-73_Maturity_9
"{""ImportId"":""ResponseId""}","{""ImportId"":""StartDate""}","{""ImportId"":""EndDate""}","{""ImportId"":""Duration (in seconds)""}","{""ImportId"":""Q1_Role""}","{""ImportId"":""Q2_DecisionAuth""}","{""ImportId"":""Q3_Industry""}","{""ImportId"":""Q4_OrgSize""}","{""ImportId"":""Q5_ProfitModel""}","{""ImportId"":""Q8_GeoScope""}","{""ImportId"":""Q74_Feedback""}","{""ImportId"":""Q10-28_Barriers_1""}","{""ImportId"":""Q10-28_Barriers_2""}","{""ImportId"":""Q10-28_Barriers_3""}","{""ImportId"":""Q10-28_Barriers_4""}","{""ImportId"":""Q10-28_Barriers_5""}","{""ImportId"":""Q10-28_Barriers_6""}","{""ImportId"":""Q10-28_Barriers_7""}","{""ImportId"":""Q10-28_Barriers_8""}","{""ImportId"":""Q10-28_Barriers_9""}","{""ImportId"":""Q10-28_Barriers_10""}","{""ImportId"":""Q10-28_Barriers_11""}","{""ImportId"":""Q10-28_Barriers_12""}","{""ImportId"":""Q10-28_Barriers_13""}","{""ImportId"":""Q10-28_Barriers_14""}","{""ImportId"":""Q10-28_Barriers_15""}","{""ImportId"":""Q10-28_Barriers_16""}","{""ImportId"":""Q10-28_Barriers_17""}","{""ImportId"":""Q10-28_Barriers_18""}","{""ImportId"":""Q10-28_Barriers_19""}","{""ImportId"":""Q47-64_Readiness_1""}","{""ImportId"":""Q47-64_Readiness_2""}","{""ImportId"":""Q47-64_Readiness_3""}","{""ImportId"":""Q47-64_Readiness_4""}","{""ImportId"":""Q47-64_Readiness_5""}","{""ImportId"":""Q47-64_Readiness_6""}","{""ImportId"":""Q47-64_Readiness_7""}","{""ImportId"":""Q47-64_Readiness_8""}","{""ImportId"":""Q47-64_Readiness_9""}","{""ImportId"":""Q47-64_Readiness_10""}","{""ImportId"":""Q47-64_Readiness_11""}","{""ImportId"":""Q47-64_Readiness_12""}","{""ImportId"":""Q47-64_Readiness_13""}","{""ImportId"":""Q47-64_Readiness_14""}","{""ImportId"":""Q47-64_Readiness_15""}","{""ImportId"":""Q47-64_Readiness_16""}","{""ImportId"":""Q47-64_Readiness_17""}","{""ImportId"":""Q47-64_Readiness_18""}","{""ImportId"":""Q65-73_Maturity_1""}","{""ImportId"":""Q65-73_Maturity_2""}","{""ImportId"":""Q65-73_Maturity_3""}","{""ImportId"":""Q65-73_Maturity_4""}","{""ImportId"":""Q65-73_Maturity_5""}","{""ImportId"":""Q65-73_Maturity_6""}","{""ImportId"":""Q65-73_Maturity_7""}","{""ImportId"":""Q65-73_Maturity_8""}","{""ImportId"":""Q65-73_Maturity_9""}"
R_synth_0000,2026-03-24 10:00:00,2026-03-24 10:16:41,1001,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",Final,Technology,<100,Government/Public Sector,National,,Not a Barrier,Significant Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Moderate Barrier,Significant Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Very High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 5: Optimizing/Innovating,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 5: Optimizing/Innovating,Level 2: Developing/Repeatable
R_synth_0001,2026-03-26 02:00:00,2026-03-26 02:26:11,1571,"CTO (e.g., Director of Technology/Innovation, Chief Scientist)",Moderate,Finance,10000+,Non-Profit,Regional,,Significant Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Moderate Barrier,Significant Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Major Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Major Barrier,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 1: Initial/Ad Hoc,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable
R_synth_0002,2026-03-27 01:00:00,2026-03-27 01:24:46,1486,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",Moderate,Government,100-499,Government/Public Sector,Regional,Synthetic respondent feedback.,Moderate Barrier,Significant Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Moderate Barrier,Major Barrier,Not a Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Moderate Barrier,Significant Barrier,Significant Barrier,Major Barrier,Significant Barrier,Major Barrier,Very Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable
R_synth_0003,2026-03-27 10:00:00,2026-03-27 10:24:32,1472,"CEO (e.g., Agency Director, Secretary, Administrator, City/County Manager)",Moderate,Finance,<100,For-Profit,International,Synthetic respondent feedback.,Significant Barrier,Significant Barrier,Moderate Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Major Barrier,Major Barrier,Not a Barrier,Major Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Major Barrier,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 1: Initial/Ad Hoc,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_0004,2026-03-28 09:00:00,2026-03-28 09:11:17,677,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",Final,Healthcare,10000+,Government/Public Sector,Regional,,Significant Barrier,Significant Barrier,Moderate Barrier,Minor Barrier,Significant Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Minor Barrier,Major Barrier,Major Barrier,Minor Barrier,Major Barrier,Not a Barrier,Moderate Barrier,Major Barrier,Low Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_0005,2026-03-30 02:00:00,2026-03-30 02:19:11,1151,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",Moderate,Education,<100,For-Profit,Regional,,Minor Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Major Barrier,Moderate Barrier,Minor Barrier,Minor Barrier,Major Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Significant Barrier,Major Barrier,Significant Barrier,Not a Barrier,Minor Barrier,Moderate Barrier,Major Barrier,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 3: Defined/Standardized,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_0006,2026-03-30 12:00:00,2026-03-30 12:22:56,1376,"CIO (e.g., Director of IT)",Limited,Finance,500-999,Government/Public Sector,Regional,Synthetic respondent feedback.,Significant Barrier,Significant Barrier,Significant Barrier,Major Barrier,Significant Barrier,Moderate Barrier,Not a Barrier,Significant Barrier,Minor Barrier,Major Barrier,Minor Barrier,Moderate Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Significant Barrier,Moderate Barrier,Moderate Barrier,Major Barrier,Low Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Low Readiness/Capability,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 5: Optimizing/Innovating,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 2: Developing/Repeatable
R_synth_0007,2026-03-31 16:00:00,2026-03-31 16:20:16,1216,"CFO (e.g., Director of Finance, Budget Director, Comptroller)",Strong,Government,500-999,Non-Profit,Local,Synthetic respondent feedback.,Major Barrier,Moderate Barrier,Significant Barrier,Not a Barrier,Significant Barrier,Minor Barrier,Major Barrier,Major Barrier,Significant Barrier,Minor Barrier,Significant Barrier,Minor Barrier,Moderate Barrier,Significant Barrier,Major Barrier,Major Barrier,Significant Barrier,Minor Barrier,Major Barrier,Very Low Readiness/Capability,Moderate Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Low Readiness/Capability,Low Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,High Readiness/Capability,Very High Readiness/Capability,High Readiness/Capability,Very Low Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Moderate Readiness/Capability,Very High Readiness/Capability,Low Readiness/Capability,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 4: Managed/Quantitatively Managed,Level 4: Managed/Quantitatively Managed,Level 3: Defined/Standardized,Level 2: Developing/Repeatable,Level 3: Defined/Standardized,Level 1: Initial/Ad Hoc,Level 2: Developing/Repeatable
